key,en,ar,,
common.save,save,حفظ,,
common.confirm,are you sure ?,هل أنت متأكد ؟,,
common.cancel,cancel,إلغاء,,
common.ok,ok,موافق,,
common.back,back,عودة,,
common.unknown-error,an unknown error occured. please try again.,خطأ يرجى المحاولة مرة ثانية,,
common-choose-beds,click to choose,انقر للاختيار,,
common.add,add,اضافة,,
common.copyRights,CompanyName © 2020,CompanyName © 2020,,
,,,,
bed.title,Add a new bed,اضافة سرير جديد,,
bed.name,Bed Name,اسم السرير,,
bed.images,Bed Images,صور السرير,,
bed.type,Bed Type,نوع السرير,,
bed.description,Bed Descripton,وصف السرير,,
bed.id,Bed identifier,رقم السرير الخاص,,
bed.number,Images Count,عدد الصور,,
bed.all,View all beds,استعراض جميع الأسرة,,
,,,,
bedUpdate.title,Update a bed,تعديل سرير,,
,,,,
room-create.title,Create a BedRoom,إنشاء غرفة,,
room-update.title,Updates a BedRoom,تعديل غرفة,,
room-choose,Choose the beds,اختيار الأسرة,,
room.all,View all bed rooms,استعراض جميع الغرف,,
room.name,room name,اسم الغرفة,,
room.description,room description,وصف الغرفة,,
room.type,room type,نوع الغرفة,,
room.beds,available beds,الأسرة الموجودة,,
room-choose-beds,click to choose,انقر للاختيار,,
,,,,
seach.criteria,search through,البحث عن طريق,,
,,,,
flat.all,show all flats,استعراض جميع الشقق,,
,,,,
sign.title,Sign In,الدخول,,
sign.phonePlaceholder,phone,الجوال,,
sign.password,password,كلمة السر,,
sign.signBtn,sign in,تسجيل الدخول,,
sign.forgotPwd,forgot password,نسيت كلمة المرور,,
sign.signUp,new member,تسجيل جديد,,
sign.userName,user name,اسم المستخدم,,
sign.invalidCredentials,invalidCredentials,معلومات دخول غير صحيحة,,
,,,,
register.title,sign up,التسجيل,,
register.fullName,fullname,إسمك,,
register.password,password,كلمة السر - مكونة من سبعة حروف أو أكثر,,
register.userName,username,اسم المستخدم,,
register.choose,choose,الصورة,,
register.choose,choose,اختيار الصورة,,
register.save,register,تسجيل,,
register.verifyPhone,verify phone number,تاكيد رقم الجوال,,
register.verify,verify,تأكيد,,
register.phonePlaceHolder,mobile phone,الجوال,,
register.phoneUsed,this number already used,رقم الموبايل مستخدم,,لينا
register.userNameFound,this username is already used,اسم المستخدم الذي اخترته مستخدم من قبل,,
register.verify-success,the verification process completed successfully,تم التاكد بنجاح,,
register.success,the registeration process completed successfully,تم التسجيل بنجاح,,
,,,,
reset.title,forgot password,نسيت كلمة المرور,,
reset.hint1,the password will be sent,سوف يتم إرسال كلمة,,
reset.hint2,to your mobile phone,المرور على جوالك,,
reset.phone,,,,
reset.resetBtn,send,ارسال الرابط,,
,,,,
resetResponse.title,the new password,كلمة المرور الجديدة,,
resetResponse.resetBtn,reset,تعيين,,
,,,,
profilePage.save,save,حفظ التعديل,,
profilePage.savedSuccessfully,successfully saved,تم حفظ التعديلات بنجاح,,
profilePage.editProfile,edit profile,تعديل الملف,,
,,,,
,,,,
dialog.ok,ok,موافق,,
dialog.cancel,cancel,إلغاء,,
dialog.generalFail,"general fail. please, try again.",خطأ يرجى المحاولة مرة ثانية,,
dialog.invalidCredentials,invalid username or password.,معلومات دخول غير صحيحة.,,
dialog.phoneUsed,this number already used,رقم الموبايل مستخدم,,
dialog.userNameFound,this username is already used,اسم المستخدم هذا مستخدم,,
dialog.signupSucceed,the registeration process completed successfully,تم التسجيل بنجاح,,
dialog.wrongOtp,wrong pin code,الرقم المدخل غير صحيح,,
dialog.resetSucceeded,the reset link has been sent successfully,تم ارسال رابط اعاده التعيين بنجاح.,,
dialog.setSucceeded,set succeeded,تم تغيير كلمة المرور بنجاح,,
,,,,
cp.back,back,العودة,,
cp.title,control panel,صفحة التحكم,,
cp.task,requested task,المهمة المطلوبة,,
,,,,
flatType.title,create a flat type,إنشاء شقة,,
flatType.name,flat name,اسم الشقة,,
flatType.type,flat type,نوع الشقة,,
flatType.price,flat price,السعر,,
flatType.count,count,العدد,,
flatType.area,flat area,المساحة,,
flatType.description,flat description,الوصف,,
flatType.images,images,الصور,,
flatType.bedRooms,bed rooms,غرف النوم,,
flatType.livingRooms,living rooms,غرف الجلوس,,
flatType.bathRooms,bathrooms,الحمامات,,
flatType.kitchens,kitchens,المطابخ,,
flatType.all,view all flat types,استعراض جميع الشقق,,
flatType.update,update a flat type,تعديل شقة,,
,,,,
reserve.create,new reservation,انشاء حجز جديد,,
reserve.update,modify reservation,تعديل حجز,,
reserve.viewAll,view all reservations,استعراض جميع الحجوزات,,
reserve.delete,delete a reservation,حذف الحجز,,
reserve.from,start of period,بداية الفترة,,
reserve.to,end of period,نهاية الفترة,,
reserve.nights,no. nights,عدد الليالي,,
reserve.channel,channel,المصدر,,
reserve.flat-types,flat type,نوع الشقة,,
reserve.total-flats,total flats,عدد الشقق الكلي,,
reserve.available-flats,available flats,عدد الشقق المتاحة,,
reserve.count,no of flats to reservs,العدد المرغوب حجزه,,
reserve.searchTitle,search for flats,البحث عن شقق,,
reserve.success,the operation is done successfully,تم العملية بنجاح,,
,,,,
welcome.title,Welcome to Hamah Hotel System,أهلا في نظام هامة للفنادق,,